title,description,category,languageType,mediaURL,text
Tari Landek,Tarian tradisional Karo yang dilakukan dengan gerakan kaki menghentak mengikuti irama musik.,Tarian Nusantara,Medan,,Tari Landek Tarian tradisional Karo yang dilakukan dengan gerakan kaki menghentak mengikuti irama musik.
Tari Piso Surit,"Tarian yang menggambarkan suara burung Piso Surit, melambangkan kerinduan akan kampung halaman.",Tarian Nusantara,Medan,,"Tari Piso Surit Tarian yang menggambarkan suara burung Piso Surit, melambangkan kerinduan akan kampung halaman."
Tari Guro-Guro Aron,Tarian yang biasanya ditampilkan pada upacara adat sebagai bentuk hiburan dan kebersamaan.,Tarian Nusantara,Medan,,Tari Guro-Guro Aron Tarian yang biasanya ditampilkan pada upacara adat sebagai bentuk hiburan dan kebersamaan.
Ulos Karo,Kain tenun khas Karo yang memiliki motif unik dan digunakan dalam upacara adat dan pernikahan.,Seni dan Kerajinan,Medan,,Ulos Karo Kain tenun khas Karo yang memiliki motif unik dan digunakan dalam upacara adat dan pernikahan.
Anyaman Rotan,Kerajinan tangan dari rotan yang dibuat menjadi berbagai bentuk seperti tikar dan keranjang.,Seni dan Kerajinan,Medan,,Anyaman Rotan Kerajinan tangan dari rotan yang dibuat menjadi berbagai bentuk seperti tikar dan keranjang.
Perhiasan Perak,"Perhiasan dan aksesoris yang dibuat dari perak, dihiasi dengan motif tradisional Karo.",Seni dan Kerajinan,Medan,,"Perhiasan Perak Perhiasan dan aksesoris yang dibuat dari perak, dihiasi dengan motif tradisional Karo."
Patung Kayu,"Patung-patung yang diukir dari kayu, menggambarkan tokoh-tokoh atau hewan dalam mitologi Karo.",Seni dan Kerajinan,Medan,,"Patung Kayu Patung-patung yang diukir dari kayu, menggambarkan tokoh-tokoh atau hewan dalam mitologi Karo."
Erpangir Ku Lau,Upacara penyucian diri dengan air dari sungai atau mata air yang dianggap suci untuk memohon berkah.,Tradisi Nusantara,Medan,,Erpangir Ku Lau Upacara penyucian diri dengan air dari sungai atau mata air yang dianggap suci untuk memohon berkah.
Ndurung,Upacara pemanggilan roh leluhur untuk meminta perlindungan dan restu dalam acara adat tertentu.,Tradisi Nusantara,Medan,,Ndurung Upacara pemanggilan roh leluhur untuk meminta perlindungan dan restu dalam acara adat tertentu.
Kerja Tahun,Perayaan tahunan yang diadakan di desa-desa Karo sebagai bentuk syukur atas hasil panen.,Tradisi Nusantara,Medan,,Kerja Tahun Perayaan tahunan yang diadakan di desa-desa Karo sebagai bentuk syukur atas hasil panen.
